"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"7345",2,1,3,2,3,1,2,1,8,2,43,1,6,"BRA",4,4,0,0,1,0,0,0,0,4,3,1,7,2,8,3,3,3
"7346",2,3,3,NA,NA,2,2,2,9,3,78,1,4,"BRA",2,3,0,0,1,NA,NA,NA,NA,3,4,2,4,3,9,4,4,2
"7347",3,2,1,1,3,2,2,3,9,3,65,1,3,"BRA",4,1,0,0,0,0,2,0,NA,3,2,2,4,3,9,3,2,2
"7348",2,2,3,2,2,1,4,1,6,2,30,1,5,"BRA",1,4,1,1,1,0,0,0,0,3,3,1,2,2,6,2,3,3
"7349",1,1,2,2,2,3,3,4,7,2,36,1,7,"BRA",1,2,1,2,0,1,0,0,0,4,2,3,3,2,7,2,2,3
"7350",2,2,2,2,2,3,3,3,7,2,26,1,7,"BRA",2,NA,1,2,2,2,0,0,0,3,3,3,7,2,7,3,3,4
"7351",2,2,1,2,2,3,1,2,7,2,30,1,6,"BRA",2,4,1,0,0,0,1,1,0,2,2,3,7,2,7,2,2,3
"7352",1,3,3,1,1,1,1,1,7,4,48,1,9,"BRA",2,3,0,1,2,0,2,0,0,3,2,1,1,4,7,2,2,4
"7353",1,3,3,3,3,1,3,2,7,4,43,1,6,"BRA",2,2,0,0,0,0,0,2,0,4,4,1,2,4,7,2,4,2
"7354",3,3,3,3,3,1,4,4,2,4,26,1,1,"BRA",4,3,0,0,0,0,0,0,0,3,3,1,1,4,2,4,3,4
"7355",1,2,1,1,2,1,1,1,9,3,30,1,1,"BRA",1,4,0,0,2,1,0,0,0,4,4,1,1,3,9,3,4,4
"7356",1,3,3,3,3,1,1,1,2,4,71,1,1,"BRA",4,1,0,0,1,0,0,0,0,4,2,1,4,4,2,1,2,4
"7357",1,3,3,3,3,1,1,1,7,2,35,1,10,"BRA",1,4,0,0,1,0,0,0,0,4,1,1,7,2,7,4,1,4
"7358",3,3,3,3,3,3,3,1,2,4,41,1,1,"BRA",4,4,0,0,2,0,0,0,0,4,4,3,1,4,2,4,4,4
"7359",2,3,2,2,2,1,2,2,3,4,56,1,5,"BRA",3,4,0,0,1,0,0,0,0,4,3,1,1,4,3,2,3,4
"7360",1,3,2,2,2,1,2,2,9,4,33,1,5,"BRA",2,2,1,0,0,0,0,0,0,3,3,1,1,4,9,2,3,3
"7361",1,3,1,2,1,1,3,2,9,4,25,1,3,"BRA",3,2,0,0,0,0,0,0,0,3,3,1,1,4,9,2,3,4
"7362",3,3,3,3,3,1,1,1,7,4,29,1,1,"BRA",4,2,0,0,0,0,0,0,0,4,4,1,1,4,7,1,4,2
"7363",1,3,3,2,2,1,3,1,9,4,21,1,7,"BRA",1,2,0,0,2,0,0,0,0,2,2,1,1,4,9,4,2,2
"7364",3,3,3,3,3,1,1,1,9,4,82,1,1,"BRA",4,1,0,0,2,0,0,0,0,1,2,1,4,4,9,2,2,3
"7365",1,3,2,1,3,1,1,1,7,4,54,1,7,"BRA",2,3,1,0,0,0,0,0,0,3,3,1,1,4,7,3,3,4
"7366",2,3,1,2,2,1,3,2,6,3,19,1,5,"BRA",2,2,0,0,2,0,0,0,0,4,2,1,6,3,6,4,2,2
"7367",1,3,1,2,2,1,2,1,7,4,50,1,3,"BRA",3,3,0,0,2,2,2,2,0,3,3,1,1,4,7,2,3,4
"7368",2,3,2,2,2,1,2,1,7,2,30,1,8,"BRA",2,3,0,0,2,NA,0,0,0,4,3,1,2,2,7,2,3,4
"7369",1,2,2,1,1,1,3,1,9,4,29,1,6,"BRA",1,3,0,0,1,0,0,0,0,4,4,1,3,4,9,4,4,4
"7370",3,3,3,3,3,1,1,2,2,4,74,1,10,"BRA",3,2,0,0,2,0,0,0,0,4,4,1,3,4,2,4,4,2
"7371",2,2,2,2,2,1,2,2,7,4,31,1,9,"BRA",3,2,0,0,0,0,0,0,0,3,3,1,3,4,7,2,3,3
"7372",2,3,1,3,3,1,1,1,2,4,66,1,4,"BRA",1,3,0,0,2,0,0,0,0,2,3,1,4,4,2,1,3,4
"7373",1,3,2,3,2,1,1,1,2,2,22,1,5,"BRA",4,2,0,0,1,0,0,0,NA,3,NA,1,7,2,2,NA,NA,4
"7374",1,1,1,1,1,1,1,1,9,4,63,1,6,"BRA",1,2,1,2,0,0,0,0,0,2,2,1,7,4,9,3,2,4
"7375",1,3,2,2,2,2,1,1,2,2,36,1,8,"BRA",2,2,0,0,0,0,0,0,0,4,3,2,3,2,2,3,3,4
"7376",2,3,2,3,3,1,2,1,3,4,54,1,1,"BRA",2,2,0,0,2,0,0,2,0,4,2,1,3,4,3,2,2,3
"7377",1,3,NA,3,3,2,2,1,2,4,68,1,1,"BRA",4,2,0,0,1,0,0,0,0,4,2,2,4,4,2,2,2,4
"7378",3,3,NA,3,3,1,1,1,3,4,70,1,10,"BRA",4,2,0,0,2,0,0,0,0,4,4,1,4,4,3,4,4,4
"7379",1,2,3,3,NA,1,1,1,3,4,35,1,10,"BRA",2,4,0,0,0,0,0,0,0,4,4,1,2,4,3,3,4,4
"7380",2,3,3,NA,NA,1,1,1,2,2,25,1,5,"BRA",3,2,0,0,1,0,0,0,0,4,2,1,7,2,2,3,2,4
"7381",1,2,1,3,NA,1,1,1,3,4,42,1,1,"BRA",2,2,1,0,0,0,0,0,0,3,4,1,2,4,3,3,4,4
"7382",1,3,2,2,2,3,2,1,2,4,40,1,1,"BRA",4,2,0,0,0,0,0,0,0,4,3,3,1,4,2,3,3,2
"7383",2,3,3,2,2,2,2,1,2,3,39,1,6,"BRA",2,4,0,2,0,0,0,0,0,4,2,2,1,3,2,1,2,4
"7384",1,3,1,2,1,1,2,1,5,2,22,1,6,"BRA",4,3,0,1,1,0,0,0,0,4,4,1,1,2,5,4,4,4
"7385",1,3,3,3,2,1,1,1,2,4,50,1,10,"BRA",2,4,0,0,0,0,0,0,0,3,1,1,2,4,2,3,1,3
"7386",1,2,1,1,2,1,2,2,8,4,32,1,7,"BRA",1,2,0,2,1,0,0,0,0,2,2,1,1,4,8,3,2,4
"7387",1,2,2,2,2,1,1,1,8,4,24,1,4,"BRA",2,3,0,0,0,0,0,0,0,3,4,1,1,4,8,3,4,4
"7388",3,3,3,3,3,3,2,1,2,2,23,1,4,"BRA",4,4,0,0,0,2,2,2,0,4,4,3,2,2,2,4,4,4
"7389",2,3,3,3,3,1,3,2,2,4,71,1,10,"BRA",4,1,0,0,0,0,0,0,0,4,4,1,4,4,2,4,4,2
"7390",1,3,3,3,3,1,2,2,2,4,73,1,6,"BRA",4,3,0,0,0,0,0,0,0,4,2,1,4,4,2,3,2,4
"7391",1,3,3,3,3,2,1,1,4,4,44,1,1,"BRA",3,2,0,2,2,0,0,0,0,3,2,2,1,4,4,3,2,2
"7392",3,3,3,3,3,1,3,2,8,4,21,1,5,"BRA",4,4,0,0,0,0,0,0,0,4,2,1,2,4,8,2,2,3
"7393",1,3,2,1,2,1,1,2,7,2,42,1,5,"BRA",4,2,0,0,1,2,2,0,0,4,4,1,1,2,7,2,4,4
"7394",2,2,2,1,1,2,4,2,7,4,46,1,1,"BRA",1,2,0,2,0,0,0,0,0,4,4,2,3,4,7,2,4,2
